02912	28806023	com	Open COM3 @ 115200 baud Ctrl-X (UsbSerial)
04421	28989533	tx	[3F]
04422	28989540	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04423	28989783	tx	[3F]
04424	28989788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04425	28990032	tx	[3F]
04426	28990038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04427	28990283	tx	[3F]
04428	28990288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04429	28990533	tx	[3F]
04430	28990538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04431	28990783	tx	[3F]
04432	28990788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04433	28991033	tx	[3F]
04434	28991038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04435	28991283	tx	[3F]
04436	28991289	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04437	28991533	tx	[3F]
04438	28991538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04439	28991795	tx	[3F]
04440	28991809	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04441	28992033	tx	[3F]
04442	28992040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04443	28992283	tx	[3F]
04444	28992288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04445	28992533	tx	[3F]
04446	28992538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04447	28992783	tx	[3F]
04448	28992789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04449	28993032	tx	[3F]
04450	28993037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04451	28993282	tx	[3F]
04452	28993288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04453	28993533	tx	[3F]
04454	28993539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04455	28993783	tx	[3F]
04456	28993788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04457	28994032	tx	[3F]
04458	28994037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04459	28994283	tx	[3F]
04460	28994290	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04461	28994532	tx	[3F]
04462	28994539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04463	28994782	tx	[3F]
04464	28994788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04465	28995032	tx	[3F]
04466	28995038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04467	28995283	tx	[3F]
04468	28995289	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04469	28995532	tx	[3F]
04470	28995538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04471	28995782	tx	[3F]
04472	28995787	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04473	28996033	tx	[3F]
04474	28996038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04475	28996282	tx	[3F]
04476	28996288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04477	28996533	tx	[3F]
04478	28996538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04479	28996783	tx	[3F]
04480	28996791	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04481	28997032	tx	[3F]
04482	28997039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04483	28997283	tx	[3F]
04484	28997288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04485	28997533	tx	[3F]
04486	28997539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04487	28997784	tx	[3F]
04488	28997789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04489	28998033	tx	[3F]
04490	28998038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04491	28998282	tx	[3F]
04492	28998287	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04493	28998533	tx	[3F]
04494	28998539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04495	28998782	tx	[3F]
04496	28998791	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04497	28999032	tx	[3F]
04498	28999037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04499	28999284	tx	[3F]
04500	28999292	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04501	28999533	tx	[3F]
04502	28999540	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04503	28999787	tx	[3F]
04504	28999793	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04505	29000033	tx	[3F]
04506	29000039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04507	29000282	tx	[3F]
04508	29000292	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04509	29000532	tx	[3F]
04510	29000538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04511	29000783	tx	[3F]
04512	29000788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04513	29001032	tx	[3F]
